Iteration,Vehicle Count,Function,Total Execution Time (ms),Call Count,Average Time (ms)
1,17,allocateOHT,64131.524,678,94.589
1,17,scheduleOHT,32397.731,312,103.839
2,17,allocateOHT,70410.932,672,104.778
2,17,scheduleOHT,33385.509,310,107.695
3,17,allocateOHT,76019.691,717,106.025
3,17,scheduleOHT,34630.414,323,107.215
4,17,allocateOHT,72710.822,675,107.720
4,17,scheduleOHT,33979.868,314,108.216
5,17,allocateOHT,71879.663,675,106.488
5,17,scheduleOHT,34756.793,330,105.324
6,17,allocateOHT,76013.853,711,106.911
6,17,scheduleOHT,34053.134,318,107.085
7,17,allocateOHT,71182.976,655,108.676
7,17,scheduleOHT,34811.481,318,109.470
8,17,allocateOHT,73139.937,688,106.308
8,17,scheduleOHT,33255.048,307,108.323
9,17,allocateOHT,71451.664,662,107.933
9,17,scheduleOHT,33882.818,305,111.091
10,17,allocateOHT,82350.075,768,107.227
10,17,scheduleOHT,35154.456,315,111.601
11,17,allocateOHT,74395.975,679,109.567
11,17,scheduleOHT,32623.690,293,111.344
12,17,allocateOHT,77350.697,719,107.581
12,17,scheduleOHT,35011.783,316,110.797
13,17,allocateOHT,77133.061,728,105.952
13,17,scheduleOHT,34215.776,312,109.666
14,17,allocateOHT,79849.080,745,107.180
14,17,scheduleOHT,34082.272,313,108.889
15,17,allocateOHT,69254.377,642,107.873
15,17,scheduleOHT,35785.372,327,109.435
16,17,allocateOHT,75545.942,703,107.462
16,17,scheduleOHT,35624.503,325,109.614
17,17,allocateOHT,68801.365,689,99.857
17,17,scheduleOHT,28849.034,298,96.809
18,17,allocateOHT,73595.385,710,103.655
18,17,scheduleOHT,31518.968,302,104.367
19,17,allocateOHT,74850.650,686,109.112
19,17,scheduleOHT,36065.820,325,110.972
20,17,allocateOHT,73102.821,682,107.189
20,17,scheduleOHT,35981.958,332,108.379
21,17,allocateOHT,83102.541,760,109.345
21,17,scheduleOHT,34678.501,311,111.506
22,17,allocateOHT,75746.843,711,106.536
22,17,scheduleOHT,31431.180,288,109.136
23,17,allocateOHT,70519.975,646,109.164
23,17,scheduleOHT,35532.797,323,110.009
24,17,allocateOHT,67912.039,637,106.612
24,17,scheduleOHT,37433.225,340,110.098
25,17,allocateOHT,85328.379,801,106.527
25,17,scheduleOHT,34992.898,320,109.353
26,17,allocateOHT,84645.917,775,109.221
26,17,scheduleOHT,33745.725,308,109.564
27,17,allocateOHT,78825.645,735,107.246
27,17,scheduleOHT,34461.238,315,109.401
28,17,allocateOHT,67016.335,625,107.226
28,17,scheduleOHT,34763.660,325,106.965
29,17,allocateOHT,70514.500,652,108.151
29,17,scheduleOHT,34735.919,315,110.273
30,17,allocateOHT,83962.535,776,108.199
30,17,scheduleOHT,34383.329,316,108.808
